# loss log for training starting in 2025-05-23 23:47:18
epoch, loss, val_loss
1,114127.74,71306.70
2,52476.55,44005.28
3,42480.46,41671.18
4,42605.39,40982.25
5,39950.50,38675.72
6,36269.98,36468.37
7,35782.17,36305.36
8,34608.87,36060.78
9,35679.47,33481.40
10,33049.81,34054.06
11,34060.40,33207.11
12,34321.72,33739.25
13,33343.82,35677.87
14,32513.42,34090.99
15,31432.32,33243.37
16,31282.85,33146.02
17,31192.64,32648.54
18,31197.39,32598.15
19,31224.40,32366.31
20,31046.58,32340.61
21,31179.63,32688.44
22,30737.71,32236.64
23,31192.23,32167.96
24,30284.24,32310.30
25,31302.05,32518.30
26,30076.88,31827.38
27,31150.99,31906.56
28,30020.88,31713.78
29,30903.29,32171.71
30,29895.75,31488.04
31,30367.42,31674.39
32,29826.47,31323.11
33,29899.55,31570.62
34,30036.87,31465.30
35,29930.90,31315.84
36,29639.28,31494.14
37,29180.69,31025.47
38,28825.41,31144.64
39,28456.43,31112.07
40,28290.47,30954.16
41,27966.73,30781.18
42,27643.56,30566.58
43,27793.42,30875.18
44,27692.48,30769.76
45,27676.73,30792.77
46,27692.91,30969.27
47,27543.93,30834.93
48,27564.33,30958.09
49,27545.51,30997.94
50,27450.50,30985.01
